,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP_x,PRO_OCUP_C_x,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,TVIVHAB,GRAPROES_x,PDER_SS,VIVPAR_HAB,VIVPARH_CV,PROM_OCUP_y,PRO_OCUP_C_y,GRAPROES_y,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,PHOGJEF_F_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,PDER_SS_%,TVIVHAB_%,GRAPROES_x_%,PROM_OCUP_x_%,RO_CRIEVA_%,PRO_OCUP_C_x_%
0,Acapulco,852622,445313,407309,36535,40920,86306,43404,44042,555330,117874,59967,30492,13492,53443,40548,255878,412725,182516,230209,7967,236843,290127,212656,3815,613756,107536,901,120282,245301,95802,849445,315225,358162,6.880000000000001,2.49,95754,240983,224913,148811,55171,229713,230718,217787,139901,19467,216827,67660,212140,112162,25389,245411,17.96,605941,218168,244816,3.4400000000000004,1.245,8.98,52.2,47.8,4.3,4.8,10.1,5.1,5.2,65.1,13.8,7.0,3.6,13492,6.3,4.8,30.0,48.4,44.2,55.8,0.9,27.8,47.9,35.1,0.6,72.0,12.6,0.1,14.1,39.1,37.1,39.1,98.4,91.9,60.8,22.5,93.8,94.2,89.0,57.1,8.0,88.6,27.6,86.7,45.8,10.4,71.1,100.0,17.96,6.880000000000001,107536,2.49
1,Acayucan,114416,59795,54621,5045,5584,11687,5911,5965,75673,15207,7871,4181,2155,6735,8554,34159,56594,23759,32835,965,43683,26996,35621,942,72525,24951,94,16725,33864,12660,113741,39426,41458,10.04,3.27,13754,33314,30720,14490,3434,32527,32691,28003,21708,3399,27886,6896,28165,10083,2133,33880,25.78,70691,32017,33762,3.3466666666666662,1.09,8.593333333333334,52.3,47.7,4.4,4.9,10.2,5.2,5.2,66.1,13.3,6.9,3.7,2155,5.9,7.5,29.9,49.5,42.0,58.0,0.8,38.2,38.2,50.4,1.3,63.4,21.8,0.1,14.6,37.4,34.7,40.7,98.7,91.0,42.9,10.2,96.3,96.8,82.9,64.3,10.1,82.6,20.4,83.4,29.9,6.3,61.8,100.0,25.78,10.04,24951,3.27
2,Aguascalientes,1140916,583919,556997,55026,61004,121938,61075,61158,763889,116390,250146,130663,51307,54795,14775,318395,570373,243977,326396,11653,211072,687792,152244,30895,1004971,63700,1799,67440,316379,99037,1137351,320409,376264,11.23,2.85,67290,315023,314325,236264,139832,314345,314535,301291,276786,73754,304386,157619,298433,206586,92365,316562,30.270000000000003,927998,306180,316049,3.7433333333333336,0.95,10.090000000000002,51.2,48.8,4.8,5.3,10.7,5.4,5.4,67.0,10.2,21.9,11.5,51307,4.8,1.3,27.9,50.0,42.8,57.2,1.0,18.5,74.1,16.4,3.3,88.1,5.6,0.2,5.9,31.3,28.2,21.3,99.7,99.5,74.8,44.2,99.5,99.5,95.3,87.6,23.3,96.3,49.9,94.4,65.4,29.2,81.3,100.1,30.270000000000003,11.23,63700,2.85
3,Campeche,294077,152522,141555,12287,14049,27355,13380,13520,201182,37321,42759,22131,7638,19010,7485,89926,147105,64715,82390,2337,57005,137833,62572,2929,187640,65779,533,39226,85297,30672,293199,99637,101576,3.44,0.95,33425,84565,84383,71801,9791,83546,83662,78024,69521,10748,78468,39358,78059,51974,19202,85353,10.72,236338,81815,85180,3.44,0.95,10.72,51.9,48.1,4.2,4.8,9.3,4.5,4.6,68.4,12.7,14.5,7.5,7638,6.5,2.5,30.6,50.0,44.0,56.0,0.8,19.4,58.3,26.5,1.2,63.8,22.4,0.2,13.3,36.0,34.0,39.2,99.3,99.1,84.3,11.5,98.1,98.2,91.6,81.6,12.6,92.1,46.2,91.6,61.0,22.5,80.4,100.1,10.72,3.44,65779,0.95
4,Cancún,934189,463322,470867,39160,44841,91085,44384,41965,669043,60983,540449,269146,106672,32492,13363,232529,505658,205725,299933,9285,244614,509501,112398,20225,514967,186512,2529,218032,293820,96157,932005,297130,346554,6.52,2.6,118100,289196,286019,274237,74137,289906,288710,268337,227043,54177,263616,119830,278109,179320,77315,293890,19.48,678294,256214,293442,3.26,1.3,9.74,49.6,50.4,4.2,4.8,9.8,4.8,4.5,71.6,6.5,57.9,28.8,106672,3.5,1.4,24.9,54.1,40.7,59.3,1.0,26.2,75.1,16.6,3.0,55.1,20.0,0.3,23.3,32.7,31.9,40.2,98.6,97.5,93.5,25.3,98.8,98.4,91.4,77.4,18.5,89.8,40.8,94.8,61.1,26.3,72.6,100.0,19.48,6.52,186512,2.6
5,Celaya,767104,395804,371300,35824,41501,77828,39468,40292,513592,86850,69420,34828,12503,31798,24023,232647,369816,154596,215220,6912,174606,329293,205279,11327,681844,38459,601,44312,204727,70991,765587,250968,258782,15.7,4.28,51752,203336,200122,157193,79857,199389,199755,191270,166229,93839,194170,80106,180262,109522,35227,204842,36.04,590916,198253,204523,3.925,1.07,9.01,51.6,48.4,4.7,5.4,10.1,5.1,5.3,67.0,11.3,9.0,4.5,12503,4.1,3.1,30.3,48.2,41.8,58.2,0.9,22.8,55.7,34.7,1.9,88.9,5.0,0.1,5.8,34.7,32.8,25.3,99.4,97.8,76.9,39.0,97.5,97.7,93.5,81.3,45.9,94.9,39.2,88.1,53.5,17.2,77.0,100.1,36.04,15.7,38459,4.28
6,Chetumal,233648,118552,115096,9477,11126,23154,11700,11642,161046,25741,78047,39850,8923,11128,7242,67008,120140,50501,69639,2046,48523,69817,61298,1842,132351,49335,344,50899,70753,24412,232061,76980,87728,3.28,1.07,30603,69228,68746,59985,24183,68786,69065,62148,55794,20299,60828,27957,64914,40605,14848,70782,10.19,184650,69365,70293,3.28,1.07,10.19,50.7,49.3,4.1,4.8,9.9,5.0,5.0,68.9,11.0,33.4,17.1,8923,4.8,3.1,28.7,51.4,42.0,58.0,0.9,20.8,37.8,33.2,1.0,56.6,21.1,0.1,21.8,34.5,33.2,43.5,98.5,97.8,85.3,34.4,97.9,98.3,88.4,79.4,28.9,86.5,39.8,92.3,57.8,21.1,79.0,100.0,10.19,3.28,49335,1.07
7,Chihuahua,988065,504489,483576,39704,46334,91039,46040,46847,682738,121637,75140,36693,15638,42209,8031,292619,504923,220747,284176,9586,109571,577567,131419,47007,773338,102683,1024,105914,316126,113766,982589,325472,371696,9.27,2.39,75768,314806,312695,237225,25301,313842,314016,309952,287298,27753,305154,169569,299293,215675,109214,316246,29.98,875342,297178,315904,3.09,0.7966666666666667,9.993333333333334,51.1,48.9,4.0,4.7,9.2,4.7,4.7,69.1,12.3,7.6,3.7,15638,4.3,0.8,29.6,51.1,43.7,56.3,1.0,11.1,66.0,15.0,5.4,78.3,10.4,0.1,10.7,36.0,33.1,24.0,99.7,99.0,75.1,8.0,99.3,99.4,98.1,90.9,8.8,96.6,53.7,94.7,68.3,34.6,88.6,100.0,29.98,9.27,102683,2.39
8,Chilpancingo,336480,176258,160222,18404,19166,37625,18237,18299,219997,33902,16238,7946,5065,16336,16198,90079,165927,76442,89485,3335,91520,45141,125617,1747,252822,42911,618,39341,84980,32350,333888,120450,110941,8.120000000000001,2.59,31526,84275,75883,69548,40327,82178,83072,74744,45192,4098,75849,32254,75232,45821,11102,85069,18.62,244326,80929,84817,4.0600000000000005,1.295,9.31,52.4,47.6,5.5,5.7,11.2,5.4,5.4,65.4,10.1,4.8,2.4,5065,4.9,4.8,26.8,49.3,46.1,53.9,1.0,27.2,18.5,51.4,0.7,75.1,12.8,0.2,11.7,38.1,36.1,37.2,99.4,89.5,82.0,47.5,96.9,97.9,88.1,53.3,4.8,89.4,38.0,88.7,54.0,13.1,72.6,100.1,18.62,8.120000000000001,42911,2.59
9,Ciudad Victoria,349688,180459,169229,14860,16607,34240,17538,17324,236254,44810,26864,13855,4555,15089,4672,108365,169807,75810,93997,4235,47692,136586,69945,6566,239972,62347,233,45295,101652,34478,348121,107921,124897,3.42,0.84,28201,100877,99557,41130,3468,98615,99175,97731,86659,17120,96468,47982,95397,63597,23385,101678,11.44,300753,96666,101442,3.42,0.84,11.44,51.6,48.4,4.2,4.7,9.8,5.0,5.0,67.6,12.8,7.7,4.0,4555,4.3,1.3,31.0,48.6,44.6,55.4,1.2,13.6,45.4,23.3,2.2,68.6,17.8,0.1,13.0,33.9,31.0,27.8,99.4,98.1,40.5,3.4,97.2,97.8,96.3,85.4,16.9,95.1,47.3,94.0,62.7,23.1,86.0,100.0,11.44,3.42,62347,0.84
